Year,Farm ,Spray,Week ,Product,Tree,Incidence ,Leaves
2022,1,1,0,Badge,1,8.33,12.00
2022,1,1,0,Badge,2,1.69,19.67
2022,1,1,0,Badge,3,3.70,18.00
2022,1,1,0,Badge,4,4.35,15.33
2022,1,1,0,Badge,5,4.35,15.33
2022,1,1,0,Badge,6,8.33,12.00
2022,1,1,0,Badge,7,2.38,14.00
2022,1,1,0,Badge,8,5.00,13.33
2022,1,1,0,Badge,9,8.57,11.67
2022,1,1,0,Badge,10,5.88,11.33
2022,1,1,0,Badge,11,2.44,13.67
2022,1,1,0,Badge,12,4.17,16.00
2022,2,1,0,Badge,1,4.69,21.33
2022,2,1,0,Badge,2,5.17,19.33
2022,2,1,0,Badge,3,0.00,19.67
2022,2,1,0,Badge,4,0.00,11.33
2022,2,1,0,Badge,5,1.72,19.33
2022,2,1,0,Badge,6,0.00,18.67
2022,2,1,0,Badge,7,0.00,17.00
2022,2,1,0,Badge,8,1.85,18.00
2022,2,1,0,Badge,9,0.00,14.67
2022,2,1,0,Badge,10,2.13,15.67
2022,2,1,0,Badge,11,2.44,13.67
2022,2,1,0,Badge,12,0.00,15.67
2022,3,1,0,Badge,1,0.00,16.00
2022,3,1,0,Badge,2,0.00,16.67
2022,3,1,0,Badge,3,0.00,16.00
2022,3,1,0,Badge,4,1.75,19.00
2022,3,1,0,Badge,5,0.00,19.00
2022,3,1,0,Badge,6,0.00,18.33
2022,3,1,0,Badge,7,0.00,17.00
2022,3,1,0,Badge,8,0.00,17.00
2022,3,1,0,Badge,9,0.00,16.67
2022,3,1,0,Badge,10,0.00,17.33
2022,3,1,0,Badge,11,1.79,18.67
2022,3,1,0,Badge,12,0.00,19.00
2022,1,1,0,Kocide,1,0.00,11.67
2022,1,1,0,Kocide,2,8.33,16.00
2022,1,1,0,Kocide,3,10.42,16.00
2022,1,1,0,Kocide,4,22.92,16.00
2022,1,1,0,Kocide,5,3.51,19.00
2022,1,1,0,Kocide,6,6.25,16.00
